"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.audio_file","Input.audio_name","Answer.Human","Answer.Intelligible","Answer.Smoothness","Approve","Reject"
"306996CF6VJFA2LSB204MRKBAJ1B14","3T6A8QWPRATCDT7RJBP79VS2HHPJJI","Judge the quality of this Voice","Rank this voice in terms of how easy it is to understand, how human-like it is, and how smooth it sounds","speech synthesis, audio, text to speech, speech generation, audio, voice, voice quality,","$0.15","Tue Dec 19 18:21:26 PST 2017","5","BatchId:3056683;OriginalHitTemplateId:920937332;","900","259200","Thu Dec 21 18:21:26 PST 2017","","","32XVDSJFPZWL5Y5FBXVSUA1UQRD2MO","A198QA1OQBUJV1","Approved","Tue Dec 19 18:24:46 PST 2017","Tue Dec 19 18:31:43 PST 2017","Fri Dec 22 18:31:43 PST 2017","Tue Dec 19 19:01:23 PST 2017","","","417","100% (38/38)","100% (38/38)","100% (38/38)","https://clyp.it/n1bv2t0s","0_exp_c","9","9","8"
"306996CF6VJFA2LSB204MRKBAJ1B14","3T6A8QWPRATCDT7RJBP79VS2HHPJJI","Judge the quality of this Voice","Rank this voice in terms of how easy it is to understand, how human-like it is, and how smooth it sounds","speech synthesis, audio, text to speech, speech generation, audio, voice, voice quality,","$0.15","Tue Dec 19 18:21:26 PST 2017","5","BatchId:3056683;OriginalHitTemplateId:920937332;","900","259200","Thu Dec 21 18:21:26 PST 2017","","","3907X2AHF04RQ12S3DNKBEVPVWN2PJ","AFKZZEURTCR8U","Approved","Tue Dec 19 18:22:04 PST 2017","Tue Dec 19 18:25:41 PST 2017","Fri Dec 22 18:25:41 PST 2017","Tue Dec 19 19:01:23 PST 2017","","","217","100% (11/11)","100% (11/11)","100% (11/11)","https://clyp.it/n1bv2t0s","0_exp_c","6","7","6"
"306996CF6VJFA2LSB204MRKBAJ1B14","3T6A8QWPRATCDT7RJBP79VS2HHPJJI","Judge the quality of this Voice","Rank this voice in terms of how easy it is to understand, how human-like it is, and how smooth it sounds","speech synthesis, audio, text to speech, speech generation, audio, voice, voice quality,","$0.15","Tue Dec 19 18:21:26 PST 2017","5","BatchId:3056683;OriginalHitTemplateId:920937332;","900","259200","Thu Dec 21 18:21:26 PST 2017","","","3GU1KF0O4I0LEE2OM6GVC7YTP20BPU","A3RYI5HXC2MJLN","Approved","Tue Dec 19 18:23:32 PST 2017","Tue Dec 19 18:34:09 PST 2017","Fri Dec 22 18:34:09 PST 2017","Tue Dec 19 19:01:23 PST 2017","","","637","100% (37/37)","100% (37/37)","100% (37/37)","https://clyp.it/n1bv2t0s","0_exp_c","7","6","7"
"306996CF6VJFA2LSB204MRKBAJ1B14","3T6A8QWPRATCDT7RJBP79VS2HHPJJI","Judge the quality of this Voice","Rank this voice in terms of how easy it is to understand, how human-like it is, and how smooth it sounds","speech synthesis, audio, text to speech, speech generation, audio, voice, voice quality,","$0.15","Tue Dec 19 18:21:26 PST 2017","5","BatchId:3056683;OriginalHitTemplateId:920937332;","900","259200","Thu Dec 21 18:21:26 PST 2017","","","3NG53N1RLVI2CG4HJUWLL58SHWFP89","A2CK0OXMPOR9LE","Approved","Tue Dec 19 18:24:33 PST 2017","Tue Dec 19 18:33:50 PST 2017","Fri Dec 22 18:33:50 PST 2017","Tue Dec 19 19:01:23 PST 2017","","","557","100% (11/11)","100% (11/11)","100% (11/11)","https://clyp.it/n1bv2t0s","0_exp_c","8","7","8"
"306996CF6VJFA2LSB204MRKBAJ1B14","3T6A8QWPRATCDT7RJBP79VS2HHPJJI","Judge the quality of this Voice","Rank this voice in terms of how easy it is to understand, how human-like it is, and how smooth it sounds","speech synthesis, audio, text to speech, speech generation, audio, voice, voice quality,","$0.15","Tue Dec 19 18:21:26 PST 2017","5","BatchId:3056683;OriginalHitTemplateId:920937332;","900","259200","Thu Dec 21 18:21:26 PST 2017","","","3RKNTXVS3MXU6BBDI8OBEY3SGOKA48","A2QD7QFGCUNF5N","Approved","Tue Dec 19 18:24:46 PST 2017","Tue Dec 19 18:25:19 PST 2017","Fri Dec 22 18:25:19 PST 2017","Tue Dec 19 19:01:23 PST 2017","","","33","100% (5/5)","100% (5/5)","100% (5/5)","https://clyp.it/n1bv2t0s","0_exp_c","5","7","6"
"3SD15I2WD1T5ETIC2FXFZ4DGU24363","3T6A8QWPRATCDT7RJBP79VS2HHPJJI","Judge the quality of this Voice","Rank this voice in terms of how easy it is to understand, how human-like it is, and how smooth it sounds","speech synthesis, audio, text to speech, speech generation, audio, voice, voice quality,","$0.15","Tue Dec 19 18:21:26 PST 2017","5","BatchId:3056683;OriginalHitTemplateId:920937332;","900","259200","Thu Dec 21 18:21:26 PST 2017","","","384PI804XS0H7JF6G7N0NV7LLIA0SD","A3RYI5HXC2MJLN","Approved","Tue Dec 19 18:22:19 PST 2017","Tue Dec 19 18:28:42 PST 2017","Fri Dec 22 18:28:42 PST 2017","Tue Dec 19 19:01:23 PST 2017","","","383","100% (37/37)","100% (37/37)","100% (37/37)","https://clyp.it/1ugfuswk","0_exp_t10f","8","7","8"
"3SD15I2WD1T5ETIC2FXFZ4DGU24363","3T6A8QWPRATCDT7RJBP79VS2HHPJJI","Judge the quality of this Voice","Rank this voice in terms of how easy it is to understand, how human-like it is, and how smooth it sounds","speech synthesis, audio, text to speech, speech generation, audio, voice, voice quality,","$0.15","Tue Dec 19 18:21:26 PST 2017","5","BatchId:3056683;OriginalHitTemplateId:920937332;","900","259200","Thu Dec 21 18:21:26 PST 2017","","","3MRNMEIQW55O2QLA8AEUQGD9NDBLDD","A2QD7QFGCUNF5N","Approved","Tue Dec 19 18:22:42 PST 2017","Tue Dec 19 18:23:04 PST 2017","Fri Dec 22 18:23:04 PST 2017","Tue Dec 19 19:01:23 PST 2017","","","22","100% (5/5)","100% (5/5)","100% (5/5)","https://clyp.it/1ugfuswk","0_exp_t10f","0","2","4"
"3SD15I2WD1T5ETIC2FXFZ4DGU24363","3T6A8QWPRATCDT7RJBP79VS2HHPJJI","Judge the quality of this Voice","Rank this voice in terms of how easy it is to understand, how human-like it is, and how smooth it sounds","speech synthesis, audio, text to speech, speech generation, audio, voice, voice quality,","$0.15","Tue Dec 19 18:21:26 PST 2017","5","BatchId:3056683;OriginalHitTemplateId:920937332;","900","259200","Thu Dec 21 18:21:26 PST 2017","","","3NG53N1RLVI2CG4HJUWLL58SHWF8PS","AQ5RV9HW7U6ID","Approved","Tue Dec 19 18:22:39 PST 2017","Tue Dec 19 18:22:50 PST 2017","Fri Dec 22 18:22:50 PST 2017","Tue Dec 19 19:01:24 PST 2017","","","11","100% (5/5)","100% (5/5)","100% (5/5)","https://clyp.it/1ugfuswk","0_exp_t10f","5","9","1"
"3SD15I2WD1T5ETIC2FXFZ4DGU24363","3T6A8QWPRATCDT7RJBP79VS2HHPJJI","Judge the quality of this Voice","Rank this voice in terms of how easy it is to understand, how human-like it is, and how smooth it sounds","speech synthesis, audio, text to speech, speech generation, audio, voice, voice quality,","$0.15","Tue Dec 19 18:21:26 PST 2017","5","BatchId:3056683;OriginalHitTemplateId:920937332;","900","259200","Thu Dec 21 18:21:26 PST 2017","","","3PH3VY7DJLW7GL2546ATQJDS92OZWI","A3BI0AX5T5GVO3","Approved","Tue Dec 19 18:22:04 PST 2017","Tue Dec 19 18:22:17 PST 2017","Fri Dec 22 18:22:17 PST 2017","Tue Dec 19 19:01:24 PST 2017","","","13","100% (5/5)","100% (5/5)","100% (5/5)","https://clyp.it/1ugfuswk","0_exp_t10f","3","8","5"
"3SD15I2WD1T5ETIC2FXFZ4DGU24363","3T6A8QWPRATCDT7RJBP79VS2HHPJJI","Judge the quality of this Voice","Rank this voice in terms of how easy it is to understand, how human-like it is, and how smooth it sounds","speech synthesis, audio, text to speech, speech generation, audio, voice, voice quality,","$0.15","Tue Dec 19 18:21:26 PST 2017","5","BatchId:3056683;OriginalHitTemplateId:920937332;","900","259200","Thu Dec 21 18:21:26 PST 2017","","","3R08VXYT7CUOWBWZLBIAZZKTZ9C7WZ","A198QA1OQBUJV1","Approved","Tue Dec 19 18:22:04 PST 2017","Tue Dec 19 18:25:37 PST 2017","Fri Dec 22 18:25:37 PST 2017","Tue Dec 19 19:01:24 PST 2017","","","213","100% (38/38)","100% (38/38)","100% (38/38)","https://clyp.it/1ugfuswk","0_exp_t10f","8","8","7"
